,airports,dates,day_before
248,SRQ,2008-01-01 12:05:00,12.083333333333334
249,SBA,2008-01-01 12:06:00,12.1
250,SBP,2008-01-01 12:07:00,12.116666666666667
251,SJT,2008-01-01 12:07:00,12.116666666666667
252,GEG,2008-01-01 12:08:00,12.133333333333333
253,CLE,2008-01-01 12:08:00,12.133333333333333
254,CLL,2008-01-01 12:08:00,12.133333333333333
255,OXR,2008-01-01 12:09:00,12.15
256,BUF,2008-01-01 12:09:00,12.15
257,FCA,2008-01-01 12:09:00,12.15
258,MRY,2008-01-01 12:10:00,12.166666666666666
259,SNA,2008-01-01 12:10:00,12.166666666666666
260,MYR,2008-01-01 12:11:00,12.183333333333334
261,PIH,2008-01-01 12:12:00,12.2
262,DAY,2008-01-01 12:13:00,12.216666666666667
263,HDN,2008-01-01 12:13:00,12.216666666666667
264,BUF,2008-01-01 12:13:00,12.216666666666667
265,SGF,2008-01-01 12:14:00,12.233333333333333
266,HDN,2008-01-01 12:16:00,12.266666666666667
267,CLE,2008-01-01 12:17:00,12.283333333333333
268,MTJ,2008-01-01 12:17:00,12.283333333333333
269,FAR,2008-01-01 12:19:00,12.316666666666666
270,JAC,2008-01-01 12:19:00,12.316666666666666
271,IYK,2008-01-01 12:20:00,12.333333333333334
272,RST,2008-01-01 12:21:00,12.35
273,DRO,2008-01-01 12:21:00,12.35
274,VPS,2008-01-01 12:21:00,12.35
275,GUC,2008-01-01 12:21:00,12.35
276,DLH,2008-01-01 12:21:00,12.35
277,PSP,2008-01-01 12:23:00,12.383333333333333
278,SGF,2008-01-01 12:23:00,12.383333333333333
279,RDM,2008-01-01 12:24:00,12.4
280,LNK,2008-01-01 12:24:00,12.4
281,MSN,2008-01-01 12:25:00,12.416666666666666
282,EUG,2008-01-01 12:26:00,12.433333333333334
283,MOD,2008-01-01 12:26:00,12.433333333333334
284,LFT,2008-01-01 12:29:00,12.483333333333333
285,TWF,2008-01-01 12:30:00,12.5
286,SRQ,2008-01-01 12:30:00,12.5
287,BIL,2008-01-01 12:31:00,12.516666666666667
288,FNT,2008-01-01 12:31:00,12.516666666666667
289,MRY,2008-01-01 12:31:00,12.516666666666667
290,IPL,2008-01-01 12:33:00,12.55
291,RIC,2008-01-01 12:33:00,12.55
292,ISP,2008-01-01 12:34:00,12.566666666666666
293,SUX,2008-01-01 12:34:00,12.566666666666666
294,MSO,2008-01-01 12:35:00,12.583333333333334
295,MLB,2008-01-01 12:35:00,12.583333333333334
296,COD,2008-01-01 12:35:00,12.583333333333334
297,MHT,2008-01-01 12:36:00,12.6
298,HLN,2008-01-01 12:37:00,12.616666666666667
299,SLE,2008-01-01 12:38:00,12.633333333333333
300,CEC,2008-01-01 12:39:00,12.65
301,LRD,2008-01-01 12:40:00,12.666666666666666
302,CAE,2008-01-01 12:40:00,12.666666666666666
303,GJT,2008-01-01 12:42:00,12.7
304,BZN,2008-01-01 12:42:00,12.7
305,ISP,2008-01-01 12:43:00,12.716666666666667
306,CPR,2008-01-01 12:43:00,12.716666666666667
307,CRP,2008-01-01 12:44:00,12.733333333333333
308,BIL,2008-01-01 12:44:00,12.733333333333333
309,SDF,2008-01-01 12:45:00,12.75
310,DRO,2008-01-01 12:45:00,12.75
311,TLH,2008-01-01 12:46:00,12.766666666666667
312,FAY,2008-01-01 12:47:00,12.783333333333333
313,GRK,2008-01-01 12:50:00,12.833333333333334
314,ORF,2008-01-01 12:50:00,12.833333333333334
315,PFN,2008-01-01 12:50:00,12.833333333333334
316,MSN,2008-01-01 12:52:00,12.866666666666667
317,MTJ,2008-01-01 12:57:00,12.95
318,MDT,2008-01-01 12:58:00,12.966666666666667
319,SGU,2008-01-01 12:58:00,12.966666666666667
320,EUG,2008-01-01 12:59:00,12.983333333333333
321,ABE,2008-01-01 12:59:00,12.983333333333333
322,CSG,2008-01-01 13:00:00,13.0
323,PWM,2008-01-01 13:01:00,13.016666666666667
324,JAC,2008-01-01 13:01:00,13.016666666666667
325,MTJ,2008-01-01 13:01:00,13.016666666666667
326,SDF,2008-01-01 13:03:00,13.05
327,LNK,2008-01-01 13:03:00,13.05
328,LAN,2008-01-01 13:04:00,13.066666666666666
329,FSM,2008-01-01 13:07:00,13.116666666666667
330,TRI,2008-01-01 13:07:00,13.116666666666667
331,ISP,2008-01-01 13:08:00,13.133333333333333
332,GNV,2008-01-01 13:12:00,13.2
333,SMX,2008-01-01 13:12:00,13.2
334,GSO,2008-01-01 13:13:00,13.216666666666667
335,EUG,2008-01-01 13:15:00,13.25
336,FNT,2008-01-01 13:16:00,13.266666666666667
337,FCA,2008-01-01 13:16:00,13.266666666666667
338,MRY,2008-01-01 13:18:00,13.3
339,LAN,2008-01-01 13:18:00,13.3
340,SJT,2008-01-01 13:19:00,13.316666666666666
341,SRQ,2008-01-01 13:21:00,13.35
342,GSO,2008-01-01 13:23:00,13.383333333333333
343,SDF,2008-01-01 13:25:00,13.416666666666666
344,AGS,2008-01-01 13:30:00,13.5
345,GUC,2008-01-01 13:30:00,13.5
346,TVC,2008-01-01 13:34:00,13.566666666666666
347,MFR,2008-01-01 13:35:00,13.583333333333334
348,SDF,2008-01-01 13:35:00,13.583333333333334
349,ISP,2008-01-01 13:37:00,13.616666666666667
350,ROW,2008-01-01 13:42:00,13.7
351,BTV,2008-01-01 13:44:00,13.733333333333333
352,RDD,2008-01-01 13:46:00,13.766666666666667
353,CMI,2008-01-01 13:47:00,13.783333333333333
354,LFT,2008-01-01 13:48:00,13.8
355,JNU,2008-01-01 13:52:00,13.866666666666667
356,MFR,2008-01-01 13:53:00,13.883333333333333
357,MRY,2008-01-01 13:54:00,13.9
358,PHF,2008-01-01 13:54:00,13.9
359,ABY,2008-01-01 13:54:00,13.9
360,MOD,2008-01-01 13:56:00,13.933333333333334
361,ABI,2008-01-01 13:57:00,13.95
362,SRQ,2008-01-01 13:57:00,13.95
363,AVL,2008-01-01 13:57:00,13.95
364,CIC,2008-01-01 13:59:00,13.983333333333333
365,CPR,2008-01-01 14:00:00,14.0
366,BTV,2008-01-01 14:01:00,14.016666666666667
367,CLL,2008-01-01 14:05:00,14.083333333333334
368,FLG,2008-01-01 14:05:00,14.083333333333334
369,MDT,2008-01-01 14:06:00,14.1
370,MTJ,2008-01-01 14:07:00,14.116666666666667
371,ANC,2008-01-01 14:09:00,14.15
372,SJU,2008-01-01 14:09:00,14.15
373,ABE,2008-01-01 14:13:00,14.216666666666667
374,SJU,2008-01-01 14:14:00,14.233333333333333
375,MLU,2008-01-01 14:16:00,14.266666666666667
376,MDT,2008-01-01 14:17:00,14.283333333333333
377,HNL,2008-01-01 14:19:00,14.316666666666666
378,TYR,2008-01-01 14:19:00,14.316666666666666
379,CLD,2008-01-01 14:19:00,14.316666666666666
380,HLN,2008-01-01 14:20:00,14.333333333333334
381,BTV,2008-01-01 14:26:00,14.433333333333334
382,SBN,2008-01-01 14:28:00,14.466666666666667
383,SJU,2008-01-01 14:28:00,14.466666666666667
384,GTF,2008-01-01 14:29:00,14.483333333333333
385,ABE,2008-01-01 14:30:00,14.5
386,PWM,2008-01-01 14:30:00,14.5
387,PWM,2008-01-01 14:31:00,14.516666666666667
388,AEX,2008-01-01 14:32:00,14.533333333333333
389,DAB,2008-01-01 14:33:00,14.55
390,BTV,2008-01-01 14:34:00,14.566666666666666
391,BTM,2008-01-01 14:35:00,14.583333333333334
392,DAB,2008-01-01 14:38:00,14.633333333333333
393,OGG,2008-01-01 14:39:00,14.65
