OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-1749729,"6468,900787","6683,921975","5645,028398","6661,463563","6825,662626","6903,389452","6476,674847","6572,687371","6349,428571","7050,156576","7358,136842","6651,646934","6839,749469","6375,239316","6990,890792","7057,05794","6856,385281","6981,240566","6673,663024","7190,35337","6742,32969"
-1749728,"7964,725128","8096,279444","8103,350911","8071,572249","8200,437725","8055,531956","8256,931573","8019,637194","8123,740029","8065,856765","8159,002404","8116,292859","8209,546526","8208,597884","8271,632516","8283,287295","8223,664341","8138,83726","8262,989909","8129,219389","7787,980274"
-1749727,"8527,517735","8701,238209","8721,537269","8729,854502","8776,431723","8746,268933","8803,940334","8689,256426","8830,890018","8664,826772","8738,810418","8775,354936","8836,367656","8799,535272","8817,889851","8778,307121","8807,727273","8760,551896","8838,700372","8684,165942","8552,499068"
-1749726,"6718,588235","7677,352941","6461,529412","7311,823529","6958,117647","7057,588235","6325,470588","7019,235294","6345,470588","7484,764706","7081,823529",6522,"6755,352941","6644,411765","6605,058824","7369,176471","7459,2","7338,153846","7849,5","7911,083333","8027,583333"
-1963798,"4676,582794","5012,20232","4700,724907","5399,778605","4995,531965","5085,745716","4409,021375","5111,97905","4920,003259","5074,533271","5028,635377","4307,975084","5133,105184","4742,653591","5129,313456","5055,19254","5265,230811","5022,889883","4940,962178","4995,022923","5021,062464"
-1858775,"3678,186275","4138,431373",4534,"4818,714286","4409,384615","5199,792208","5149,919355","5063,133333","4896,233333","5148,152542","5349,745763","4760,135593","5114,440678","4068,810345","4646,87931","4714,189655","4454,396552","5045,189655","4926,108696","4009,695652","4301,847826"
-1858774,"5710,083333","5907,041667","5424,444444","6073,944444","5881,777778","5883,791667","5187,416667","5604,457143","5269,271429","6853,323077","5525,723077","4892,448276","5587,627907","5408,25641","5327,28125","5378,90625","5518,071429","5349,454545","5410,181818","5721,772727","5255,5"
-1858773,"3764,875","4053,245125","3642,603352","4351,388732","3941,550432","4010,719764","3028,050898","3975,201835","3905,740061","3880,623053","3656,482201","3218,833333","4095,747082","3797,170732","3955,695122","3843,145833","4176,97076","4249,766423","4423,160377","3972,330189","4278,839623"
-1858771,"7064,3","7637,7","6970,3","7655,3","7870,9","7426,8","7375,8",7807,"7335,1","7002,8","7550,9","6180,1","7579,5","6564,3","7419,8",7615,"6736,4","7157,5","6258,9","6827,3",6175
-1858770,"4430,933702","4635,585635","4163,950276","5175,872928","4447,392265","4701,812155","4408,955801","4711,471591","4540,778409","5793,011429","4910,890805","4177,433526","4610,209877","4535,901961","4647,627451","5064,196078","4869,729927","4817,694656",4098,"4465,106195","4423,929204"
