OSM_ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
-214837,"23,65357176","22,94285742","21,78333362","24,09047635","24,05238104","24,65476243","24,15000025","24,59047715","23,49642913","25,84523884","23,38690551","25,52023888","24,49880966","24,65476243","24,3107144","24,71785752","24,31666708","23,90595277","24,31309541","25,03095277"
-214836,"24,06530653","23,53673472","22,20816367","24,39183698","24,32653127","24,830613","24,74898011","24,71836799","23,74898011","26,18979645","23,72040912","25,75510243","24,63877623","25,25102098","24,95102092","25,02449063","24,77551052","24,66938782","24,84285736","25,55918394"
-214835,"23,68285713","23,0514286","21,88285751","24,03142891","23,99714279","24,61142921","24,25999985","24,52571487","23,52571487","25,9142868","23,36285744","25,48285751","24,38000069","24,80285759","24,48285675","24,64571495","24,35714302","24,16285744","24,44857216","25,1771431"
-214670,"23,76190525","23,32539728","21,89682558","23,98412726","23,81746059","24,32380973","24,38571485","24,2730164","23,34285715","25,77142927","23,29841317","25,37301636","24,20317501","24,87301678","24,62857225","24,66825422","24,33174663","24,41904789","24,50634978","25,16349241"
-1957640,"23,73200762","22,68806644","21,68915134","23,03254934","22,94575187","23,68698148","23,1303798","23,603437","22,00343669","24,38535296","22,65949436","24,1023521","23,34520908","24,53255118","24,0435824","23,94520939","24,18806637","24,48806568","23,85895264","23,98860816"
-1749743,"24,28173928","23,3396328","22,2968007","23,66300825","23,49627089","24,27650941","23,76055911","24,10251878","22,55181724","24,95519432","23,20849715","24,67219051","23,99058675","25,14280392","24,64320799","24,56973587","24,76175456","24,95805831","24,40710552","24,63206662"
-1749742,"16,5265239","15,41391816","14,41320462","15,82702256","15,69657561","16,4964748","15,67068315","16,38233615","14,5984168","17,1110755","15,39735263","16,74066318","16,01200802","17,26747318","16,74098344","16,62581933","16,89731661","17,19628855","16,56700445","16,65416277"
-1749741,"16,41489986","15,29951873","14,29936467","15,71321468","15,57778877","16,37724067","15,55088899","16,26718323","14,48033107","16,99131669","15,2802186","16,61983097","15,89234077","17,14906394","16,62258401","16,50711821","16,78184854","17,07801316","16,44435723","16,53238896"
-1749740,"23,55355064","22,50579286","21,50927993","22,85878088","22,76698865","23,51969509","22,94322797","23,42120992","21,81404514","24,21625344","22,48796532","23,91838139","23,16529138","24,36113818","23,87283199","23,76383072","24,00899707","24,3002785","23,66996406","23,808148"
-1749739,"22,51739442","21,45689993","20,46313791","21,81943175","21,71869393","22,44552661","21,87478289","22,37940679","20,76836606","23,12832781","21,42260632","22,86010117","22,10665294","23,31420583","22,79450291","22,70850009","22,95288936","23,25397054","22,61903681","22,75262889"
-1749738,"23,45714378","22,38571548","21,41428566","22,77142906","22,65714264","23,3571434","22,81428528","23,32857132","21,72857285","24,01428604","22,3571434","23,80000114","23,04285812","24,27142906","23,70000076","23,6428566","23,88571358","24,18571472","23,54285812","23,70000076"
-1749737,"20,49064883","19,43685474","18,43181101","19,83354399","19,6334902","20,45763356","19,73239942","20,29427959","18,60519013","21,09929063","19,39905368","20,7346421","20,01201585","21,23583415","20,78077162","20,59893742","20,87253594","21,0946918","20,43551733","20,6325097"
-1749736,"24,28571415","23,25714397","22,27857208","23,58571529","23,50000095","24,25714397","23,70714283","24,11428642","22,56428623","24,87142944","23,19285679","24,63571453","23,93571472","25,12857151","24,60000038","24,5357151","24,75000095",25,"24,40714359","24,58571529"
-1749734,"24,13622957","23,10271595","22,14506722","23,44365951","23,3603634","24,08799215","23,55541933","23,99730645","22,44207753","24,73814369","23,05343887","24,49286802","23,75293468","24,97128704","24,43421091","24,34950595","24,5889348","24,8752202","24,27021109","24,43763904"
-1749733,"23,40230988","22,33325706","21,35945191","22,74160402","22,61659493","23,42494167","22,76301459","23,24754272","21,62134573","24,11184398","22,38327304","23,74754272","23,0165963","24,26779903","23,76898677","23,60349663","23,85945191","24,09396314","23,45229253","23,6594529"
-1749732,"14,8188557","13,70457","12,68680059","14,10108624","13,96363032","14,67478225","13,98836744","14,61380526","12,9347082","15,34237692","13,62809071","15,03314191","14,30457002","15,5617134","15,0064869","14,91885549","15,17251454","15,48139938","14,83505881","14,93854257"
-1749731,"23,39229341","22,32247007","21,34943539","22,73274333","22,60657841","23,41685139","22,75184234","23,23675573","21,60978823","24,10336849","22,37479755","23,73675573","23,00657983","24,25970875","23,76051123","23,59309485","23,84943539","24,08202043","23,43996451","23,64943643"
-1749729,"23,66026607","22,6089238","21,61936433","22,96424512","22,86871766","23,60028879","23,04616917","23,52542219","21,92975203","24,2758896","22,57656294","24,01856944","23,27010802","24,46837297","23,95133715","23,87016053","24,10859626","24,40029421","23,77191903","23,91629604"
-1749728,"17,18931475","16,1341288","15,10376469","16,52116241","16,28167356","17,10832431","16,31606101","16,97593898","15,2161875","17,70864045","16,02644408","17,34755656","16,62700245","17,8310958","17,3934224","17,21976552","17,50579386","17,74411658","17,07913157","17,23546283"
-1749727,"19,89617322","18,80879621","17,81639723","19,19480491","19,07003408","19,75555996","19,1890794","19,72610391","18,11901986","20,42776668","18,7493594","20,19118544","19,44467456","20,683878","20,1128915","20,04998963","20,29314139","20,59831103","19,95043296","20,09133245"
-1749726,"23,74285698","22,70000076","21,70000076","23,04285622","22,95714378","23,70000076","23,1428566","23,61428642","22,01428604","24,39999962","22,67142868","24,11428642","23,3571434","24,54285812","24,05714417","23,95714378","24,20000076","24,5","23,87142944",24
-1963798,"23,33096742","22,35996093","21,34354227","22,77701453","22,54158619","23,36777971","22,72672879","23,18838048","21,51414158","23,96188597","22,31302726","23,68710423","23,08077676","24,21678987","23,87169251","23,54605331","23,89257679","23,91890929","23,31694053","23,54083876"
-1858775,"24,18571472","23,22857094","22,24285698","23,60000038","23,6428566","24,2857151","23,84285736","24,05714226","22,58571434","25,11428642","23,25714302","24,74285698","24,05714417","25,17142868","24,74285698","24,61428642","24,77142906","25,01428604","24,41428566","24,74285698"
-1858774,"23,68571472","22,7142868","21,67142868","23,04285812","22,81428528","23,55714417","22,94285774","23,39999962","21,72857094","24,22857094","22,55714417","23,89999962","23,27142906","24,44285774",24,"23,90000153","24,14285851","24,30000114","23,60000038","23,84285736"
-1858773,"24,51428604","23,52857208","22,44285774","23,94285774","23,68571472","24,5714283","23,91428566","24,38571548","22,7142868","25,15714264","23,52857208","24,8571434","24,18571472","25,37142944","24,98571396","24,70000076","25,08571434","25,07143021","24,44285774","24,61428642"
-1858771,"24,34285736","23,45714188","22,38571548","23,81428528","23,64285851","24,38571548","23,79999924","24,1428566","22,5714283","25,08571434","23,32857132","24,80000114","24,11428642","25,2857151","24,7857151","24,6428566","24,84285736","25,05714226","24,51428604","24,72857094"
-1858770,"23,68571472","22,7142868","21,67142868","23,04285812","22,81428528","23,55714417","22,94285774","23,39999962","21,72857094","24,22857094","22,55714417","23,89999962","23,27142906","24,44285774",24,"23,90000153","24,14285851","24,30000114","23,60000038","23,84285736"
-1858769,"24,51428604","23,52857208","22,44285774","23,94285774","23,68571472","24,5714283","23,91428566","24,38571548","22,7142868","25,15714264","23,52857208","24,8571434","24,18571472","25,37142944","24,98571396","24,70000076","25,08571434","25,07143021","24,44285774","24,61428642"
-1858768,"24,20489199","23,21413943","22,10889238","23,59964556","23,48115157","24,32863139","23,48535978","24,18135787","22,4759049","24,70447584","23,28998274","24,46099718","23,81834738","25,05216436","24,64712614","24,23284048","24,6712813","24,72780252","24,06099756","24,18473695"
-1858767,"24,52857208","23,55714417","22,48571396","23,95714378","23,80000114","24,65714264","23,84285736","24,48571396","22,82857132","25,05714226","23,65714264","24,8571434","24,20000076","25,39999962","25,01428604","24,60000038","25,01428604","25,11428642","24,45714378","24,58571434"
-1858766,"20,60000038","19,64285851","18,55714226","19,94285774","19,74285698","20,54285812","19,8571434","20,41428566","18,70000076","21,10000038","19,51428604","20,87142944","20,2142868","21,38571548","21,0714283","20,68571472","21,10000038","21,15714264","20,54285812","20,61428642"
